句子索引,行号,原始文本
256,603,"批改和评讲问题，过去讨论得很多，这里
只谈谈命题和指导两个问题。"
257,613,"作文应该命题，不命题就体现不出教学的目的性和教师的主导作
用。"
258,613,"教师命题的作文质量低，问题不在于是否应该命题，而是因为命
题不当。"
259,613,"例如有些命题，只按教师个人意图，不管学生实际，的确助
长了千人一腔的公式化、 概念化倾向。"
260,613,"封建科举时代就是要求仕子
“代圣贤立言”，不让说自己的话。"
261,613,"现在存心要学生 “ 代圣贤立言”
的人当然是没有的，但许多因命题而造成的后果确实使学生只能代别"
262,619,① 《苏联中学文学教学大纲》，人民教育出版社 1956 年版，第 16 页。
263,621,"人 “立言”，不能和不会说自己的话，使学生的思想和作文脱离了关
系。"
264,621,我们应该充分地认识到，命题实在是个大问题。
265,621,"题目可以发展学
生的思考，也可以阻塞学生的思考。"
266,621,"命题不恰当，以后的指导、 批
改、 评讲等即或再认真不过，再好不过，又能起多大的作用呢?
题目应该能引起学生的积极性、 主动性，引导他们想象，使他们
的思想情感随之波动，而不是使他们感到味同嚼蜡或者望而生畏。"
267,627,"命题绝不应带有偶然性和盲目性，不容许随手拈来，而应该有周
密的计划性和明确的目的性。"
268,627,命题必须结合学生的阅读和生活实际。
269,629,"所谓结合阅读，是指结合他们的课内课外阅读，以读过的作品为
创作想象的基础。"
270,629,作文不该和阅读脱节。
271,629,"这种性质的命题应该占全部
命题的主要部分。"
272,629,"这种作文不仅是使学生从作品中吸取无限丰富的思
想、 语言和创作方法，而且还能引导学生借助自己的创作加深对作品
的理解，以显示出对作品的理解程度。"
273,629,"这种性质的作文在苏联学校中
特别重视，有的学校几乎全部命题都属于这一类。"
274,629,"苏联的作文常常紧
接在一篇作品分析之后，把作文当作阅读教学过程的一部分。"
275,629,"为什么
这样? 我想这大概是基于大家都知道的这样一个基本原则，就是教科
书乃是学生吸取知识获得技能技巧的基本工具。"
276,629,"因此，在苏联就不仅
在课堂教学中强调学生对教科书理解掌握的重要，就是在写作练习和
课外阅读中，也尽量发挥它们在配合课堂阅读方面所起的作用。"
277,629,"这一
点特别值得我们深思和学习。"
278,642,"这种性质的命题，在低年级可以由阅读过的作品中提出一个或几
个问题要学生做书面回答。"
279,642,"如 《多收了三五斗》 中的旧毡帽朋友们过
着怎样的生活? 这类命题的作文可以让学生从作品中引证实例或部分
原文。"
280,642,高年级的命题，应逐渐增强创造性因素和议论性因素。
281,642,"如高一
讲过 《左传》 专题后，就可以简述 《左传》 的主要内容和文学价值。"
282,647,"至于读后感之类的命题，虽然也是可以的，但既不是唯一的，也
不是最好的方式。"
283,647,本无所感而硬要写出 “感” 来，也正是曾经促成学
284,649,生写概念化的文章的原因之一。
285,651,"在结合阅读的作文中，教师应引导学生独立思考，融会并概括在
各方面所获得的知识。"
286,651,除了必要的引证外，不要过多地引用原文。
287,653,所谓结合学生生活的命题，是指结合学生亲身观察过的自然现
288,654,象、 社会现象和亲身经历过的事件。
289,654,"应该肯定，中学生是有些生活经
验的，高年级学生在一定领域内还可能有相当丰富的经验。"
290,654,"中学生正
是生理、 心理迅速发展的阶段，他们对观察过体验过的生活已经有了
自己的认识和评价，而对那些还不了解的生活又往往充满了兴趣，希
望认识它们。"
291,654,"教师就要引导他们获得对生活的正确认识，形成正确的
观念。"
292,654,"教师应借助这种性质的命题引导他们写出对观察过、 体验过的
各种现象、 事件和所向往的生活的感受和想象，表达出真挚的思想
情感。"
293,664,"上述两种性质的作文，可以是文艺性的，也可以是评论性的，既
要注意发展形象思维，也要注意发展逻辑思维。"
294,664,"但是作文的目的不是
培养作家，而是培养生活实践的能力，因而练习评论性的作文和训练
学生逻辑思维的能力就具有更重大的意义。"
295,664,"命题的形式也很值得注
意。"
296,664,命题的艺术不仅表现在内容上，也应该表现在形式上。
297,664,"文艺性作
文题目应特别富有文学意味，能从形式上引起学生的兴趣和想象。"
298,664,"议
论性作文题目应富有准确性、 明了性和概括性，使学生一目了然。"
299,671,下面说作文指导。
300,673,"作文指导不仅应体现在平日的阅读教学中，也应体现在作文过程
中。"
301,673,应该把经常的一般性指导和临时的具体指导结合起来。
302,676,过去，有些教师只注意批改而忽视了作文过程中的指导。
303,676,"结果自
然增加了批改的负担，学生得益也少。"
304,676,"忽视指导，只注意批改，是一
种本末倒置的消极方法。"
305,676,"我们要了解，摆在教师面前的任务首先是防
止或减少作文中可能产生的毛病和错误，其次才是改正毛病和错误。"
306,680,苏联学校的写作教学是非常注意这一点的，这特别值得我们好好
307,681,学习。
308,683,指导作用，教师应明确学生在作文中应该逐步实现的要求。
309,683,"而这
种要求，教学大纲中已有原则性的指示。"
310,683,"教师应根据总的要求订出年
级的以至每次作文的具体要求。"
311,683,"要求应该循序渐进，不能要求只经过
几个星期就大大不同。"
312,688,作文指导的内容不应固定不变。
313,688,"一般的可包括思想、 逻辑、 语言
几个方面。"
314,688,"指导的过程，首先应把题目解释清楚，引起他们的写作兴
趣和愿望。"
315,688,"其次应提出具体要求，引导学生考虑为完成要求所需要的
材料，开展想象。"
316,688,"再次应引导学生决定材料的取舍，确定主题，再选
择与主题相适应的语言。"
317,688,最后指导学生写出提纲。
318,694,"在指导过程中，有时把主题的确定、 重点的突出提到首要地位，
往往不注意引导学生思考，结果往往影响作文内容的充实。"
319,694,"在指导学
生执笔作文之初，引导学生发挥创造性的想象特别重要，想象力的发
挥程度对作文质量有决定性作用。"
320,694,"教师在指导过程中的基本任务，就
是引导学生展开思路，占有材料，只有在想象力充分发挥了的时候，
才能开始考虑主题的材料的安排。"
321,701,写作文提纲，有些教师怀疑会妨碍学生的创造性。
322,701,"我们要了解，
编写提纲是一种手段，不是最终目的。"
323,701,"通过这种手段正是为了达到发
挥创造性目的。"
324,701,"只有通过这种必要的逻辑训练，才能逐步过渡到完全
独立创作的阶段。"
325,706,"教师的指导是因学生的需要而存在的，在学生的独立工作能力逐
渐提高后，教师的帮助也就应随之而减少，不应该也不需要老是扶着
走路。"
326,706,"最好的指导工作应该是，逐渐使学生学会在没有教师帮助的情
况下也能合乎逻辑地思考，独立地写出合乎要求的文章。"
327,711,(原载 《语文学习》 1956 年第 9 期)
328,712,"一
本文想专从语言教学任务这一角度来探讨一下高中
文学课本的编选问题。"
329,716,"(一) 应该重视文学科的语言教学任务
我以为，中学的文学教学，除了负有丰富学生的社
会生活知识，培养学生的社会主义道德品质的任务以
外，还应该负有提高学生语言能力的任务。"
330,716,"文学教材不
仅应该是向学生进行知识教育和道德教育的工具，也应
该是培养学生运用语言能力的工具。"
331,716,"这是由文学科的性
质和学生的需要决定的。"
332,716,"从文学科的性质来说，文学是语言的艺术，
“一篇文学作品的语言质量如何，是这篇作品的艺术成就的最高标
志”①。"
333,716,好的文学作品，必然具有充分地进行语言教学的可能性。
334,716,"从学
生的需要来说，中学生还很缺乏语言训练，阅读作品的数量不多，阅
读的能力低; 至于运用语言的能力，特别是运用书面语言的能力就更
低。"
335,716,现在高中毕业生说话不清、 文章写不通的人不在少数。
336,716,"但是，他
们毕业以后，无论学习或工作，大多数人都没有机会再系统地学习语
言; 而工作或学习又都需要他们具有一定的语言修养。"
337,716,"因而培养他们
具有一定的运用语言的能力，是高中文学教学必须实现的任务。"
338,731,(二) 语言教学是目的也是手段
339,732,"通过文学教学，培养学生掌握语言，是目的还是手段? 有人说
“语言是手段，不是目的。”② 这是只知其一不知其二的说法。 其实，"
340,735,"①
②
《苏联中学文学教学大纲》，人民教育出版社 1956 年版。"
341,739,《古典文学的教学任务到底是什么?》，《人民教育》 1957 年第 6 期。
342,740,"从
语
言
教
学
任
务
看
高
中
文
学
课
本
的
编
选"
343,758,它既是手段又是目的。
344,758,"作为使学生理解、 掌握别人思想的工具，掌握
语言是一种手段; 作为使学生掌握表达自己思想的工具，掌握语言则
是一种目的。"
